start_date,effort_score,Charge_aigue,Charge_chronique,Ratio_AC
2025-03-03 19:47:50.000000,3.27,3.27,3.27,1.0
2025-03-04 17:55:32.000000,82.87,43.07,43.07,1.0
2025-03-05 19:37:41.000000,4.64,30.26,30.26,1.0
2025-03-06 10:59:32.000000,28.94,29.93,29.93,1.0
2025-03-07 17:56:08.000000,3.73,24.69,24.69,1.0
2025-03-08 10:05:18.000000,2.37,20.970000000000002,20.970000000000002,1.0
2025-03-09 15:31:09.000000,60.48,26.614285714285717,26.614285714285717,1.0
2025-03-11 18:21:27.000000,3.1,26.59,23.675,1.1231256599788806
2025-03-12 11:07:32.000000,11.17,16.347142857142856,22.285555555555554,0.7335308656044559
2025-03-12 19:41:05.000000,4.08,16.267142857142854,20.465,0.794876269589194
2025-03-13 18:10:32.000000,18.08,14.715714285714284,20.248181818181816,0.7267671941043288
2025-03-15 15:17:43.000000,4.25,14.790000000000001,18.915,0.7819191118160191
2025-03-16 16:56:59.000000,4.82,15.139999999999999,17.83076923076923,0.8490940465918895
2025-03-16 17:38:39.000000,41.0,12.357142857142858,19.485714285714288,0.6341642228739003
2025-03-16 18:15:55.000000,1.32,12.102857142857143,18.27466666666667,0.6622751245544183
2025-03-17 18:44:25.000000,2.85,10.914285714285715,17.310624999999998,0.6304963405010342
2025-03-19 11:06:32.000000,12.7,12.145714285714288,17.039411764705882,0.7128012664657813
2025-03-19 20:10:31.000000,4.49,10.204285714285714,16.34222222222222,0.6244123703329578
2025-03-20 17:30:26.000000,25.87,13.292857142857144,16.843684210526316,0.7891894063502976
2025-03-22 11:06:54.000000,2.15,12.911428571428571,16.109,0.8015040394455627
2025-03-22 17:06:47.000000,30.97,11.478571428571428,16.816666666666666,0.682571145405635
2025-03-23 18:06:51.000000,22.68,14.530000000000001,17.083181818181817,0.8505441289944923
2025-03-24 19:42:31.000000,2.1,14.422857142857142,16.43173913043478,0.8777437998722364
2025-03-26 19:33:34.000000,45.52,19.111428571428572,17.64375,1.083184049390213
2025-03-27 11:01:46.000000,17.79,21.011428571428574,17.6496,1.1904761904761907
2025-03-28 18:29:58.000000,2.08,17.61285714285714,17.05076923076923,1.0329655456877327
2025-03-31 14:09:10.000000,3.11,17.75,16.534444444444446,1.0735165647469926
2025-04-01 15:30:34.000000,36.06,18.47714285714286,17.231785714285714,1.0722709278948788
2025-04-02 15:18:25.000000,2.01,15.524285714285714,17.186785714285715,0.9032687072709514
2025-04-03 15:43:19.000000,12.41,16.997142857142858,14.670357142857142,1.158604571901551
2025-04-04 13:07:28.000000,3.15,10.944285714285714,14.617142857142857,0.7487294761532447
2025-04-04 14:56:00.000000,38.69,13.929999999999998,14.965357142857142,0.9308164093263012
2025-04-07 20:26:28.000000,3.59,14.145714285714286,14.960357142857143,0.9455465635369668
2025-04-08 08:27:02.000000,30.92,18.11857142857143,15.98,1.1338279992848204
2025-04-10 12:00:02.000000,23.79,16.365714285714287,14.669642857142858,1.1156177723676202
2025-04-13 13:56:02.000000,40.15,21.814285714285713,15.992857142857144,1.3640017865118355
2025-04-15 16:17:39.000000,7.09,21.054285714285715,15.847142857142856,1.3285855945190663
2025-04-17 15:27:06.000000,48.08,27.472857142857144,17.41857142857143,1.5772164356598048
2025-04-22 17:43:21.000000,27.66,25.897142857142857,17.760714285714283,1.458113814598834
2025-04-24 09:47:40.000000,38.87,30.937142857142856,18.997142857142855,1.6285155662505642
2025-04-29 08:34:35.000000,8.0,27.662857142857142,19.110714285714288,1.4475051392263127
2025-04-30 09:30:02.000000,66.87,33.81714285714286,20.03464285714286,1.6879334010731413
2025-05-01 16:28:45.000000,16.1,30.381428571428575,20.5625,1.4775162831089885
2025-05-04 08:36:39.000000,2.63,29.744285714285716,20.554642857142856,1.447083557764148
2025-05-04 16:28:06.000000,69.08,32.74428571428571,22.568214285714284,1.4509028184393347
2025-05-05 17:50:46.000000,2.58,29.16142857142857,22.5,1.296063492063492
2025-05-07 16:32:39.000000,12.12,25.34,22.008928571428573,1.1513509127789046
2025-05-09 07:13:58.000000,37.48,29.55142857142857,23.270714285714284,1.2698977869179533
2025-05-10 07:23:33.000000,28.05,24.005714285714287,23.166428571428572,1.036228532667345
2025-05-10 08:01:08.000000,7.81,22.821428571428573,22.635357142857142,1.0082203884567444
2025-05-11 17:52:43.000000,49.45,29.509999999999998,24.326428571428572,1.2130839474997797
2025-05-13 17:23:54.000000,17.18,22.095714285714287,23.314285714285713,0.947732843137255
2025-05-14 07:44:36.000000,51.56,29.092857142857145,24.520357142857144,1.1864777080268583
2025-05-15 18:01:04.000000,14.86,29.48428571428571,24.976785714285715,1.1804675770358188
2025-05-17 15:23:03.000000,21.67,27.225714285714286,25.639642857142857,1.0618601217422796
2025-05-20 16:55:13.000000,36.0,28.361428571428572,25.6375,1.1062478233614266
2025-05-22 16:25:07.000000,28.66,31.34,26.589285714285715,1.1786702484889187
2025-05-24 09:28:20.000000,16.67,26.657142857142855,26.74142857142857,0.9968481222287514
2025-05-24 12:28:28.000000,23.75,27.595714285714283,27.47714285714286,1.0043152750337943
2025-05-25 03:13:32.000000,18.6,22.88714285714286,26.75964285714286,0.8552858115232158
2025-05-25 05:54:53.000000,6.56,21.701428571428576,26.865714285714287,0.8077741146442626
2025-05-25 09:10:38.000000,5.45,19.384285714285713,25.956071428571427,0.7468112332649944
2025-05-25 12:02:45.000000,4.53,14.888571428571428,25.268214285714286,0.5892213537617842
2025-05-25 18:29:32.000000,13.34,12.700000000000001,24.310714285714287,0.5224034082562069
